Planning area,Population,Planning region
Ang Mo Kio,165710,North-East
Bedok,281300,East 
Bishan,88490,Central 
Boon Lay,40,West 
Bukit Batok,144410,West 
Bukit Merah,151870,Central 
Bukit Panjang,140820,West 
Bukit Timah,77280,Central 
Changi,2080,East 
Choa Chu Kang,187510,West 
Clementi,93000,West 
Downtown Core,2510,Central
Geylang,111610,Central 
Hougang,223010,North - East 
Jurong East,81180,West 
Jurong West,266720,West 
Kallang,101420,Central 
Lim Chu Kang,110,North
Mandai,2090,North
Marine Parade,47250,Central
Museum,420,Central
Newton,7640,Central
North-Eastern Island,50,North - East 
Novena,48950,Central
Orchard,990,Central
Outram,20030,Central
Pasir Ris,146920,East 
Paya Lebar,40,East 
Pioneer,90,West 
Punggol,161570,North - East 
Queenstown,97870,Central
River Valley,9930,Central
Rochor,13450,Central
Seletar,250,North - East 
Sembawang,87380,North
Sengkang,240640,North - East 
Serangoon,117310,North - East 
Singapore River,2980,Central
Southern Islands,2980,Central
Sungei Kadut,780,North
Tampines,257110,East 
Tanglin,20960,Central
Tengah,10,West 
Toa Payoh,120480,Central
Tuas,70,West 
Western Islands,10,West 
Western Water Catchment,720,West 
Woodlands,252530,North
Yishun,214940,North
